BUS_STOP_N,Name,Comment,BFC marker ID,coords.x1,coords.x2
1012,HOTEL GRAND PACIFIC,VICTORIA STREET,1001,103.85253,1.29675
1013,ST JOSEPH'S CH,VICTORIA STREET,1002,103.85335,1.29767
1019,BRAS BASAH CPLX,VICTORIA STREET,1003,103.85302,1.29699
1029,COSMIC INSURANCE BLDG,NORTH BRIDGE ROAD,1004,103.85442,1.29685
1039,NTH BRIDGE COMMERC CPLX,NORTH BRIDGE ROAD,1005,103.85557,1.29832
1059,BUGIS STN,VICTORIA STREET,1006,103.85644,1.30111
1081,,,,103.9520856,1.330089722
1109,QUEEN ST TER,QUEEN STREET,1007,103.85645,1.30368
1109,QUEEN ST TER,QUEEN STREET,1007,103.85645,1.30368
1112,OPP BUGIS JUNCTION,VICTORIA STREET,1009,103.85526,1.30002
1113,BUGIS STN,VICTORIA STREET,1010,103.85611,1.30117
1119,BUGIS JUNCTION,VICTORIA STREET,1011,103.85513,1.2996
1121,STAMFORD PR SCH,VICTORIA STREET,1012,103.85868,1.30394
1129,OPP STAMFORD PR SCH,VICTORIA STREET,1013,103.85865,1.3035
1139,PARKVIEW SQ,NORTH BRIDGE ROAD,1014,103.85716,1.30042
1211,OPP BLK 461,VICTORIA STREET,1015,103.86053,1.3055
1219,BLK 461,VICTORIA STREET,1016,103.86072,1.30527
1229,BEF SULTAN MQUE,NORTH BRIDGE ROAD,1017,103.85971,1.3033
1231,OPP TEXTILE CTR,JALAN SULTAN,1018,103.86108,1.30325
1239,SULTAN PLAZA,JALAN SULTAN,1019,103.8615,1.30292
1311,LAVENDER STN,KALLANG ROAD,1020,103.86224,1.30704
1319,LAVENDER STN,KALLANG ROAD,1021,103.86326,1.30757
1329,BLK 8,NORTH BRIDGE ROAD,1022,103.86367,1.30504
1339,BEF CRAWFORD BRIDGE,CRAWFORD STREET,1023,103.86438,1.30752
1341,SOUTHBANK,CRAWFORD STREET,1024,103.86453,1.30648
1349,OPP BLK 4,CRAWFORD STREET,1025,103.86543,1.30561
1411,KEYPOINT BLDG,BEACH ROAD,1026,103.86286,1.30211
1419,ST JOHN HQ,BEACH ROAD,1027,103.86326,1.30202
1421,OPP GOLDEN MILE CPLX,BEACH ROAD,1028,103.86484,1.30338
